Verified,Performance Title,Performance title in Japanese,Date,Time,Venue concatenated,Venue address,Latitude,Longtitude,Venue capacity,Genres concatenated,Performance types concatenated,"English name of performing troupes, performers concatenated","Kanji name of performing troupes, performers concatenated",Organizers/Sponsors concatenated,Org/Spon type 1,Organizers concatenated,org/spon type 2,Sponsors concatenated,org/spon type 3,Festival
,Makoto Ozone featuring No Name Horses,,16/3/2012,19:30,"Esplanade – Theatres on the Bay, Concert Hall","1 Esplanade Drive, Singapore 038981",1.290205,103.855567,,Jazz,Concert,Ozone Makoto; No Name Horses,小曽根真,Esplanade – Theatres on the Bay,,,,,,Esplanade Presents | Mosaic Music Festival
,toe,,16/3/2012,22:00,"Esplanade – Theatres on the Bay, Theatre Studio","1 Esplanade Drive, Singapore 038981",1.290205,103.855567,,Others,Concert,toe,,Esplanade – Theatres on the Bay,,,,,,Esplanade Presents | Mosaic Music Festival
,Hiromi – The Trio Projectfeaturing Anthony Jackson and Steve Smith,,22/5/2012,19:30,"Esplanade – Theatres on the Bay, Concert Hall","1 Esplanade Drive, Singapore 038981",1.290205,103.855567,,Jazz,Concert,Uehara Hiromi; Anthony Jackson; Steve Smith,上原 ひろみ,Esplanade – Theatres on the Bay,,,,,,Esplanade Presents | Mosaic Music Festival
,Tokyo Blue,,9/3/2012,20:00,"Esplanade – Theatres on the Bay, Outdoor Theatre","1 Esplanade Drive, Singapore 038981",1.290205,103.855567,,Jazz,Concert,"Tokyo Blue - Maekawa Hiroaki (Bass), Ywenna Carollin (Piano), Pablo Calzado (Drums)",,Esplanade – Theatres on the Bay,,,,,,Esplanade Presents | Mosaic Music Festival
,Riot !n Magenta,,14/3/2012,18:15,"Esplanade – Theatres on the Bay, Theatre","1 Esplanade Drive, Singapore 038981",1.290205,103.855567,,Others; Contemporary music,Concert,"Riot !n Magenta - Hayashida Ken (Keyboard, Producer), Eugenia Yip (Singer)",,Esplanade – Theatres on the Bay,,,,,,Esplanade Presents | Mosaic Music Festival
,Riot !n Magenta,,14/3/2012,20:15,"Esplanade – Theatres on the Bay, Theatre","1 Esplanade Drive, Singapore 038981",1.290205,103.855567,,Contemporary music,Concert,"Riot !n Magenta - Hayashida Ken (Keyboard, Producer), Eugenia Yip (Singer)",,Esplanade – Theatres on the Bay,,,,,,Esplanade Presents | Mosaic Music Festival
,Makoto Ozone featuring No Name Horses,,16/3/2012,19:30,"Esplanade – Theatres on the Bay, Concert Hall","1 Esplanade Drive, Singapore 038981",1.290205,103.855567,1630 - 1827,Jazz,Concert,Ozone Makoto; No Name Horses,,The Esplanade Co Ltd (TECL),,,,,,Esplanade Presents | Mosaic Music Festival
,Shinohara Rakugo in Singapore 2013,,23/1/2013,19:00,"The Arts House, Play Den","1 Old Parliament Lane, Singapore 179429",1.288647,103.851066,120,Rakugo,Theatre,Shinoharu Tatekawa,,Vivid Creations,,,,,,
,Shinohara Rakugo in Singapore 2013,,23/1/2013,21:00,"The Arts House, Play Den","1 Old Parliament Lane, Singapore 179429",1.288647,103.851066,120,Rakugo,Theatre,Shinoharu Tatekawa,,Vivid Creations,,,,,,
,Fujiwara Mari Cello Recital,藤原真理チェロリサイタル,24/2/2013,Evening,"The Japanese Association, Singapore (JAS), Auditorium","120 Adam Road, Singapore 289899",1.33073,103.816112,205,Contemporary music,Concert,Fujiwara Mari,藤原真理,"The Music Society, Singapore (SGMUSO); The Japanese Association, Singapore (JAS); Embassy of Japan in Singapore",,"The Music Society, Singapore (SGMUSO); The Japanese Association, Singapore (JAS)",,,,
,Tokyo Ska Paradise Orchestra,,15/3/2013,19:30,"Esplanade – Theatres on the Bay, Concert Hall","1 Esplanade Drive, Singapore 038981",1.290205,103.855567,1630 - 1827,Ska,Concert,Tokyo Ska Paradise Orchestra,,The Esplanade Co Ltd (TECL),,,,,,
,Pablo Ziegler meets Tokyo Jazz Tango Ensemble,,16/3/2013,19:30,"Esplanade – Theatres on the Bay, Recital Studio","1 Esplanade Drive, Singapore 038981",1.290205,103.855567,245,Jazz,Concert,Pablo Ziegler; Tokyo Jazz Tango Ensemble,,The Esplanade Co Ltd (TECL),,,,,,
,Shinosuke Rakugo in Singapore 2013,志の輔らくご in Singapore 2013,4/4/2013,19:00,"Raffles Hotel, Jubilee Hall","1 Beach Road, Singapore 189673",1.294801,103.854467,388,Rakugo,Theatre,Tatekawa Shinosuke,,"Vivid Creations; Embassy of Japan in Singapore; The Japanese Association, Singapore (JAS)",,,,,,
,Shinosuke Rakugo in Singapore 2013,志の輔らくご in Singapore 2013,5/4/2013,19:00,"Raffles Hotel, Jubilee Hall","1 Beach Road, Singapore 189673",1.294801,103.854467,388,Rakugo,Theatre,Tatekawa Shinosuke,,"Vivid Creations; Embassy of Japan in Singapore; The Japanese Association, Singapore (JAS)",,,,,,
,Hibiki III: Soul of Japan,,23/6/2013,15:30,"The Japanese Association, Singapore (JAS)","120 Adam Road, Singapore 289899",1.33072,103.81611,,Traditional music,Concert,Ryutarō Kaneko; Yasukazu Kano,,"Hibikiya; The Japanese Association, Singapore (JAS)",,,,,,
,Shinoharu Rakugo in Japanese 2013 Vol. 3,立川志の春 落語公演～2013夏～,27/7/2013,19:00,"Vivid Creations, Office","6 Eu Tong Sen Street, Singapore 059817",1.288839,103.846558,,Rakugo,Theatre,Shinoharu Tatekawa,,Vivid Creations,,,,,,
,Shinoharu Rakugo in English 2013 Vol.3,,29/7/2013,18:30-20:00,"The Arts House, Play Den","1 Old Parliament Lane, Singapore 179429",1.288647,103.851066,120,Rakugo,Theatre,Shinoharu Tatekawa,,Vivid Creations,,,,,,
,Shinoharu Rakugo in English 2013 Vol.3,,29/7/2013,21:00-22:30,"The Arts House, Play Den","1 Old Parliament Lane, Singapore 179429",1.288647,103.851066,120,Rakugo,Theatre,Shinoharu Tatekawa,,Vivid Creations,,,,,,
,Rising Phoenix,,2/8/2013,20:00,"Esplanade – Theatres on the Bay, Theatre","1 Esplanade Drive, Singapore 038981",1.290205,103.855567,,Traditional music,Concert,Drum TAO,,Mediacorp VizPro International Pte. Ltd.; The Esplanade Co Ltd (TECL),,,,,,
,Rising Phoenix,,3/8/2013,15:00,"Esplanade – Theatres on the Bay, Theatre","1 Esplanade Drive, Singapore 038981",1.290205,103.855567,,Traditional music,Concert,Drum TAO,,Mediacorp VizPro International Pte. Ltd.; The Esplanade Co Ltd (TECL),,,,,,
,Rising Phoenix,,3/8/2013,20:00,"Esplanade – Theatres on the Bay, Theatre","1 Esplanade Drive, Singapore 038981",1.290205,103.855567,,Traditional music,Concert,Drum TAO,,Mediacorp VizPro International Pte. Ltd.; The Esplanade Co Ltd (TECL),,,,,,
,Rising Phoenix,,4/8/2013,15:00,"Esplanade – Theatres on the Bay, Theatre","1 Esplanade Drive, Singapore 038981",1.290205,103.855567,,Traditional music,Concert,Drum TAO,,Mediacorp VizPro International Pte. Ltd.; The Esplanade Co Ltd (TECL),,,,,,
,Rising Phoenix,,4/8/2013,20:00,"Esplanade – Theatres on the Bay, Theatre","1 Esplanade Drive, Singapore 038981",1.290205,103.855567,,Traditional music,Concert,Drum TAO,,Mediacorp VizPro International Pte. Ltd.; The Esplanade Co Ltd (TECL),,,,,,
,3 Titans of Theatre: Shun-kin,春琴,30/8/2013,20:00,"Esplanade – Theatres on the Bay, Theatre","1 Esplanade Drive, Singapore 038981",1.290205,103.855567,1950,Play,Theatre,Complicite; Setagaya Public Theatre,,Singapore Repertory Theatre (SRT); The Esplanade Co Ltd (TECL),,,,,,
,3 Titans of Theatre: Shun-kin,春琴,31/8/2013,15:00,"Esplanade – Theatres on the Bay, Theatre","1 Esplanade Drive, Singapore 038981",1.290205,103.855567,1950,Play,Theatre,Complicite; Setagaya Public Theatre,,Singapore Repertory Theatre (SRT); The Esplanade Co Ltd (TECL),,,,,,
,3 Titans of Theatre: Shun-kin,春琴,31/8/2013,20:00,"Esplanade – Theatres on the Bay, Theatre","1 Esplanade Drive, Singapore 038981",1.290205,103.855567,1950,Play,Theatre,Complicite; Setagaya Public Theatre,,Singapore Repertory Theatre (SRT); The Esplanade Co Ltd (TECL),,,,,,
,Body Language - Communication through movement,,16/10/2013,19:00,"Esplanade – Theatres on the Bay, Rehearsal Studio","1 Esplanade Drive, Singapore 038981",1.290205,103.855567,100,Contemporary dance,Workshop,Hiroaki Umeda,,The Esplanade Co Ltd (TECL),,,,,,Esplanade Presents | da:ns festival
,Temporal Pattern and Holistic Strata,,18/10/2013,20:00,"Esplanade – Theatres on the Bay, Theatre Studio","1 Esplanade Drive, Singapore 038981",1.290205,103.855567,160 - 220,Contemporary dance,Dance,Hiroaki Umeda,,The Esplanade Co Ltd (TECL),,,,,,Esplanade Presents | da:ns festival
,Temporal Pattern and Holistic Strata,,19/10/2013,15:00,"Esplanade – Theatres on the Bay, Theatre Studio","1 Esplanade Drive, Singapore 038981",1.290205,103.855567,160 - 220,Contemporary dance,Dance,Hiroaki Umeda,,The Esplanade Co Ltd (TECL),,,,,,Esplanade Presents | da:ns festival
,Temporal Pattern and Holistic Strata,,19/10/2013,20:00,"Esplanade – Theatres on the Bay, Theatre Studio","1 Esplanade Drive, Singapore 038981",1.290205,103.855567,160 - 220,Contemporary dance,Dance,Hiroaki Umeda,,The Esplanade Co Ltd (TECL),,,,,,
,Fujiwara Mari Cello Recital,藤原真理チェロリサイタル,19/10/2013,Evening,"The Japanese Association, Singapore (JAS), Auditorium","120 Adam Road, Singapore 289899",1.33073,103.816112,205,Contemporary music,Concert,Fujiwara Mari; Kurato Teru (Piano),藤原真理; 倉戸テル,"The Music Society, Singapore (SGMUSO); The Japanese Association, Singapore (JAS); Embassy of Japan in Singapore; Japanese Chamber of Commerce & Industry, Singapore (JCCI)",,"The Music Society, Singapore (SGMUSO); The Japanese Association, Singapore (JAS)",,,,
,,,21/10/2013,19:15-19:45,"Esplanade – Theatres on the Bay, Concourse","1 Esplanade Drive, Singapore 038981",1.290205,103.855567,,Traditional music; Contemporary music,Concert,WASABI - Ryoichiro Yoshida (Shamisen); Hriomu Motonaga (Shakuhachi); Shin Ichikawa (Koto); Nasaburo Bihou (Taiko),,Japan Creative Centre (JCC); The Esplanade Co Ltd (TECL),,,,,,
,,,21/10/2013,20:15-20:45,"Esplanade – Theatres on the Bay, Concourse","1 Esplanade Drive, Singapore 038981",1.290205,103.855567,,Traditional music,Concert,WASABI - Ryoichiro Yoshida (Shamisen); Hriomu Motonaga (Shakuhachi); Shin Ichikawa (Koto); Nasaburo Bihou (Taiko),,Japan Creative Centre (JCC); The Esplanade Co Ltd (TECL),,,,,,
,The Spirit of Japan: The Sound of Traditional Instruments,,22/10/2013,20:00,"Fusionopolis, Genexis Theatre","1 Fusionopolis Place, Singapore 138632",1.303295,103.848658,440,Traditional music; Contemporary music,Concert,WASABI - Ryoichiro Yoshida (Shamisen); Hriomu Motonaga (Shakuhachi); Shin Ichikawa (Koto); Nasaburo Bihou (Taiko),,Japan Creative Centre (JCC),,,,,,
,3 Titans of Theatre: MUSASHI,,8/11/2013,20:00-23:00,"Esplanade – Theatres on the Bay, Theatre","1 Esplanade Drive, Singapore 038981",1.290205,103.855567,,Play,Theatre,Ninagawa Company,,Singapore Repertory Theatre (SRT); The Esplanade Co Ltd (TECL),,,,Ricoh (Singapore) Pte. Ltd.; Mitsubishi Corporation,,
,3 Titans of Theatre season - In conversation with: Yukio Ninagawa,,9/11/2013,13:30,"Esplanade – Theatres on the Bay, Theatre","1 Esplanade Drive, Singapore 038981",1.290205,103.855567,1950,Play,Talk,Yukio Ninagawa,,Singapore Repertory Theatre (SRT); The Esplanade Co Ltd (TECL),,,,,,
,3 Titans of Theatre: MUSASHI,,9/11/2013,20:00-23:00,"Esplanade – Theatres on the Bay, Theatre","1 Esplanade Drive, Singapore 038981",1.290205,103.855567,,Play,Theatre,Ninagawa Company,,Singapore Repertory Theatre (SRT); The Esplanade Co Ltd (TECL),,,,Ricoh (Singapore) Pte. Ltd.; Mitsubishi Corporation,,
,Noh workshop by Terai Chikage,,11/11/2013,Evening,"The Japanese Association, Singapore (JAS), Ballroom","120 Adam Road, Singapore 289899",1.33073,103.816112,,Noh,Workshop,Terai Chikage,寺井千景,"The Japanese Association, Singapore (JAS)",,,,,,
,"Story Time -Laugh for Children-Lecture and Demonstration of Traditional Japanese Paper Drama, Kamishibai by Mr. Nomarin",,29/11/2013,19:00,Japan Creative Centre (JCC),"4 Nassim Road, Singapore 258372",1.307507,103.826821,,Kamishibai,Theatre,Mr. Nomarin (Noma Shigeyuki),,Japan Creative Centre (JCC),,,,,,
,Going on the Way to Get Lost,,16/1/2013,20:00,"Esplanade – Theatres on the Bay, Theatre Studio","1 Esplanade Drive, Singapore 038981",1.290205,103.855567,,Play; Play,Theatre,"Maeda Shiro (Writer, Director); Festival Tokyo 2010 (Co-producer)",,The Necessary Stage; Esplanade – Theatres on the Bay,,The Necessary Stage; Esplanade – Theatres on the Bay,,The Japan Foundation; Goethe-Institut Singapur; Institut Français de Singapour; Embassy of Switzerland in Singapore; National Museum of Singapore (NMS); Ion Art; Ion Orchard; AXA Art Insurance; Pixel Creations; b.; fFurious; dp; fridae; First Printers Pte Ltd; Kultur Stadt Bern; Kultur Kanton Bern; Kultur Stadt Salzburg; Kultur Land Salzburg; Ministry of National Resources,,M1 Singapore Fringe Festival
,Fluid Piano (Doublebill with Piano + Laptop Live),,19/1/2013,19:30,"Esplanade – Theatres on the Bay, Recital Studio","1 Esplanade Drive, Singapore 038981",1.290205,103.855567,,Contemporary music; Contemporary music,Concert,Ichinose Kyo,一ノ瀬響,The Necessary Stage; Esplanade – Theatres on the Bay,,The Necessary Stage; Esplanade – Theatres on the Bay,,The Japan Foundation; Goethe-Institut Singapur; Institut Français de Singapour; Embassy of Switzerland in Singapore; National Museum of Singapore (NMS); Ion Art; Ion Orchard; AXA Art Insurance; Pixel Creations; b.; fFurious; dp; fridae; First Printers Pte Ltd; Kultur Stadt Bern; Kultur Kanton Bern; Kultur Stadt Salzburg; Kultur Land Salzburg; Ministry of National Resources,,M1 Singapore Fringe Festival
,Piano + Laptop Live (Doublebill with Fluid Piano),,19/1/2013,19:30,"Esplanade – Theatres on the Bay, Recital Studio","2 Esplanade Drive, Singapore 038981",1.290205,103.855567,,Contemporary music; Contemporary music,Concert,Teruyuki Nobuchika,延近 輝之,The Necessary Stage; Esplanade – Theatres on the Bay,,The Necessary Stage; Esplanade – Theatres on the Bay,,The Japan Foundation; Goethe-Institut Singapur; Institut Français de Singapour; Embassy of Switzerland in Singapore; National Museum of Singapore (NMS); Ion Art; Ion Orchard; AXA Art Insurance; Pixel Creations; b.; fFurious; dp; fridae; First Printers Pte Ltd; Kultur Stadt Bern; Kultur Kanton Bern; Kultur Stadt Salzburg; Kultur Land Salzburg; Ministry of National Resources,,M1 Singapore Fringe Festival
,mouse on the keys,,8/3/2013,19:30,"Esplanade – Theatres on the Bay, Recital Studio","1 Esplanade Drive, Singapore 038981",1.290205,103.855567,,Jazz; Others,Concert,mouse on the keys,,Esplanade – Theatres on the Bay,,,,,,Esplanade Presents | Mosaic Music Festival
,mouse on the keys,,9/3/2013,22:30,"Esplanade – Theatres on the Bay, Recital Studio","2 Esplanade Drive, Singapore 038981",1.290205,103.855567,,Jazz; Others,Concert,mouse on the keys,,Esplanade – Theatres on the Bay,,,,,,Esplanade Presents | Mosaic Music Festival
,Pablo Ziegler Meets Tokyo Jazz Tango Ensemble,,16/3/2013,20:30,"Esplanade – Theatres on the Bay, Recital Studio","1 Esplanade Drive, Singapore 038981",1.290205,103.855567,,Jazz,Concert,Pablo Ziegler; Tokyo Jazz Tango Ensemble,,Esplanade – Theatres on the Bay,,,,,,Esplanade Presents | Mosaic Music Festival
,Tokyo Ska Paradise Orchestra,,15/3/2013,19:30,"Esplanade – Theatres on the Bay, Concert Hall","1 Esplanade Drive, Singapore 038981",1.290205,103.855567,,Ska,Concert,Tokyo Ska Paradise Orchestra (TSPO),,Esplanade – Theatres on the Bay,,,,,,Esplanade Presents | Mosaic Music Festival
,world's end girlfriend,,16/3/2013,22:00,"Esplanade – Theatres on the Bay, Theatre Studio","1 Esplanade Drive, Singapore 038981",1.290205,103.855567,,Contemporary music; Classical music; Others,Concert,world's end girlfriend (Maeda Katsuhiko),前田 勝彦,Esplanade – Theatres on the Bay,,,,,,Esplanade Presents | Mosaic Music Festival
,Mobile 2: Flat Cities,モバイル２　フラット・シティーズ,28/8/2013,20:00,"The Necessary Stage, The Necessary Stage Black Box","278 Marine Parade Road, Singapore 449282",1.304972,103.909668,,Play,Theatre,Director:,,The Necessary Stage,,The Necessary Stage,,The Saison Foundation; First Printers Pte Ltd; The Japan Foundation,,
,Mobile 2: Flat Cities,モバイル２　フラット・シティーズ,31/8/2013,15:00,"The Necessary Stage, The Necessary Stage Black Box","278 Marine Parade Road, Singapore 449282",1.304972,103.909668,,Play,Theatre,Director:,,The Necessary Stage,,The Necessary Stage,,The Saison Foundation; First Printers Pte Ltd; The Japan Foundation,,
,Japan Theater,,14/11/2014,19:30,"The Mastercard Theatres at Marina Bay Sands, Sands Theatre","4 Bayfront Avenue, Singapore 018973",1.28523,103.860023,,Nihon Buyo,Dance,Ebizo Ichikawa XI,,"Hello!Japan; JCB; Mangosteen Club; Wonderland Japan WAttention; Japan National Tourism Organization, Singapore (JNTO); Books Kinokuniya; Japan Creative Centre (JCC); 3Top; Shochiku Co. Ltd; Zen-A; EMS Entertainment",,,,,,
,Japan Theater,,15/11/2014,15:00,"The Mastercard Theatres at Marina Bay Sands, Sands Theatre","4 Bayfront Avenue, Singapore 018973",1.28523,103.860023,,Nihon Buyo,Dance,Ebizo Ichikawa XI,,"Hello!Japan; JCB; Mangosteen Club; Wonderland Japan WAttention; Japan National Tourism Organization, Singapore (JNTO); Books Kinokuniya; Japan Creative Centre (JCC); 3Top; Shochiku Co. Ltd; Zen-A; EMS Entertainment",,,,,,
,Shinosuke Rakugo 2014,,13/2/2014,19:00,The Joyden Hall,"201 Victoria Street, #07-01, Bugis+, Singapore 188067",1.299604,103.854242,,Rakugo,Theatre,Tatekawa Shinosuke,,Vivid Creations; Hokuriku Bank,,Vivid Creations,,Singapore Toyama-ken Jinkai,,
,Butoh Workshop: Mind-Body Movement,,22/4/2014,All-day,Intercultural Theatre Institute (ITI),"11 Upper Wilkie Road, Emily Hill, Singapore 228120",1.303295,103.848658,,Butoh,Workshop,Seimaru (Sankai Juku),,The Esplanade Co Ltd (TECL); Intercultural Theatre Institute (ITI),,,,,,
,Butoh Workshop: Mind-Body Movement,,22/4/2014,All-day,"Esplanade – Theatres on the Bay, Rehearsal Studio","1 Esplanade Drive, Singapore 038981",1.290205,103.855567,100,Butoh,Workshop,Seimaru (Sankai Juku),,The Esplanade Co Ltd (TECL); Intercultural Theatre Institute (ITI),,,,,,
,Butoh Workshop: Mind-Body Movement,,23/4/2014,All-day,Intercultural Theatre Institute (ITI),"11 Upper Wilkie Road, Emily Hill, Singapore 228120",1.303295,103.848658,,Butoh,Workshop,Seimaru (Sankai Juku),,The Esplanade Co Ltd (TECL); Intercultural Theatre Institute (ITI),,,,,,
,Butoh Workshop: Mind-Body Movement,,23/4/2014,All-day,"Esplanade – Theatres on the Bay, Rehearsal Studio","1 Esplanade Drive, Singapore 038981",1.290205,103.855567,100,Butoh,Workshop,Seimaru (Sankai Juku),,The Esplanade Co Ltd (TECL); Intercultural Theatre Institute (ITI),,,,,,
,Butoh Workshop: Mind-Body Movement,,24/4/2014,All-day,Intercultural Theatre Institute (ITI),"11 Upper Wilkie Road, Emily Hill, Singapore 228120",1.303295,103.848658,,Butoh,Workshop,Seimaru (Sankai Juku),,The Esplanade Co Ltd (TECL); Intercultural Theatre Institute (ITI),,,,,,
,Butoh Workshop: Mind-Body Movement,,24/4/2014,All-day,"Esplanade – Theatres on the Bay, Rehearsal Studio","1 Esplanade Drive, Singapore 038981",1.290205,103.855567,100,Butoh,Workshop,Seimaru (Sankai Juku),,The Esplanade Co Ltd (TECL); Intercultural Theatre Institute (ITI),,,,,,
,Butoh Workshop: Mind-Body Movement,,25/4/2014,All-day,Intercultural Theatre Institute (ITI),"11 Upper Wilkie Road, Emily Hill, Singapore 228120",1.303295,103.848658,,Butoh,Workshop,Seimaru (Sankai Juku),,The Esplanade Co Ltd (TECL); Intercultural Theatre Institute (ITI),,,,,,
,Butoh Workshop: Mind-Body Movement,,25/4/2014,All-day,"Esplanade – Theatres on the Bay, Rehearsal Studio","1 Esplanade Drive, Singapore 038981",1.290205,103.855567,100,Butoh,Workshop,Seimaru (Sankai Juku),,The Esplanade Co Ltd (TECL); Intercultural Theatre Institute (ITI),,,,,,
,Butoh Workshop: Mind-Body Movement,,26/4/2014,All-day,Intercultural Theatre Institute (ITI),"11 Upper Wilkie Road, Emily Hill, Singapore 228120",1.303295,103.848658,,Butoh,Workshop,Seimaru (Sankai Juku),,The Esplanade Co Ltd (TECL); Intercultural Theatre Institute (ITI),,,,,,
,Butoh Workshop: Mind-Body Movement,,26/4/2014,All-day,"Esplanade – Theatres on the Bay, Rehearsal Studio","1 Esplanade Drive, Singapore 038981",1.290205,103.855567,100,Butoh,Workshop,Seimaru (Sankai Juku),,The Esplanade Co Ltd (TECL); Intercultural Theatre Institute (ITI),,,,,,
,Butoh Workshop: Mind-Body Movement,,27/4/2014,All-day,Intercultural Theatre Institute (ITI),"11 Upper Wilkie Road, Emily Hill, Singapore 228120",1.303295,103.848658,,Butoh,Workshop,Seimaru (Sankai Juku),,The Esplanade Co Ltd (TECL); Intercultural Theatre Institute (ITI),,,,,,
,Butoh Workshop: Mind-Body Movement,,27/4/2014,All-day,"Esplanade – Theatres on the Bay, Rehearsal Studio","1 Esplanade Drive, Singapore 038981",1.290205,103.855567,100,Butoh,Workshop,Seimaru (Sankai Juku),,The Esplanade Co Ltd (TECL); Intercultural Theatre Institute (ITI),,,,,,
,The Heart of Sankai Juku,,28/4/2014,10:00,"Esplanade – Theatres on the Bay, Recital Studio","1 Esplanade Drive, Singapore 038981",1.290205,103.855567,245,Butoh,Talk,Amagatsu Ushio (Sankai Juku),,The Esplanade Co Ltd (TECL),,,,,,
,KAGEMI: Beyond the Metaphors of Mirrors,,30/4/2014,20:00,"Esplanade – Theatres on the Bay, Theatre","1 Esplanade Drive, Singapore 038981",1.290205,103.855567,,Butoh,Dance,Sankai Juku,,The Esplanade Co Ltd (TECL),,,,,,
,KAGEMI: Beyond the Metaphors of Mirrors,,1/5/2014,20:00,"Esplanade – Theatres on the Bay, Theatre","1 Esplanade Drive, Singapore 038981",1.290205,103.855567,,Butoh,Dance,Sankai Juku,,The Esplanade Co Ltd (TECL),,,,,,
,Shinoharu Rakugo: 4th Solo Tour in Singapore,,19/6/2014,19:30,"YMCA @ One Orchard, Lee Kong Chian Auditorium","1 Orchard Road, Singapore 238824",1.29745,103.848414,250,Rakugo,Theatre,Shinoharu Tatekawa,,YMCA of Singapore; REERACOEN Singapore; Vivid Creations,,,,,,
,Shinoharu Rakugo: 4th Solo Tour in Singapore,,20/6/2014,19:30,"YMCA @ One Orchard, Lee Kong Chian Auditorium","1 Orchard Road, Singapore 238824",1.29745,103.848414,250,Rakugo,Theatre,Shinoharu Tatekawa,,YMCA of Singapore; REERACOEN Singapore; Vivid Creations,,,,,,
,Lecture demonstration by Nomura Mansai,,27/8/2014,19:00-20:00,"Victoria Theatre & Concert Hall, Dance Studio","9 Empress Place, Singapore 179556",1.28834,103.851652,60,Kyogen,Talk,Mansai Nomura,,Arts House Limited (AHL); Odawara Art Foundation; Mansaku-no-kai Kyogen Company; Setagaya Public Theatre; National Arts Council (NAC),,,,,,
,Sambaso,,28/8/2014,20:00,Victoria Theatre & Concert Hall,"9 Empress Place, Singapore 179556",1.28834,103.851652,614,Noh; Kyogen,Theatre,Nomura Mansaku; Nomura Mansai,,Arts House Limited (AHL); Odawara Art Foundation; Mansaku-no-kai Kyogen Company; Setagaya Public Theatre; National Arts Council (NAC),,,,,,Singapore International Festival of Arts (SIFA) (2012-present)
,JS1101E lecture,,16/10/2014,14:00,"National University of Singapore (NUS), UTown Auditorium 1 (UT AUD 1)","2 College Avenue West, #01-25, Singapore 138607",1.30468,103.77244,,Kabuki,Talk,Kataoka Takatarō,,"Department of Japanese Studies, National University of Singapore (NUS); NUS Japanese Studies Alumni Association",,,,,,
,Department Seminar,,17/10/2014,14:00,"National University of Singapore (NUS), AS4","9 Arts Link, National University of Singapore AS4, Singapore 117570",1.3059259,103.773853,,Kabuki,Talk,Kataoka Takatarō,,"Department of Japanese Studies, National University of Singapore (NUS); NUS Japanese Studies Alumni Association",,,,,,
,Japanese Emotion in Country of Lion,獅子の国にも和の花を,15/11/2014,19:30,"The Japanese Association, Singapore (JAS), Auditorium","120 Adam Road, Singapore 289899",1.33073,103.816112,205,Kagura,Theatre,"Toshihiko Kato, Minami and Mai Suzuki",,Sato-Kagura-Jindai-Kagura Society Singapore Branch (NPO),,,,,,
,Japan Theater,,15/11/2014,19:30,"The Mastercard Theatres at Marina Bay Sands, Sands Theatre","4 Bayfront Avenue, Singapore 018973",1.28523,103.860023,,Nihon buyo,Dance,Ichikawa Ebizo XI,,,,,,,,
,Japan Theater,,16/11/2014,15:00,"The Mastercard Theatres at Marina Bay Sands, Sands Theatre","4 Bayfront Avenue, Singapore 018973",1.28523,103.860023,,Nihon buyo,Dance,Ichikawa Ebizo XI,,,,,,,,
,"Survive, Said The Prophet",,29/6/2014,21:30,"Esplanade – Theatres on the Bay, The Edge","1 Esplanade Drive, Singapore 038981",,,,Rock,Concert,"Survive, Said The Prophet",,Esplanade – Theatres on the Bay,,,,Yamaha; MACBETH,,
,Suteru Tabi,,8/1/2014,20:00,"Esplanade – Theatres on the Bay, Theatre Studio","1 Esplanade Drive, Singapore 038981",1.290205,103.855567,,Play,Theatre,GOTANNDADAN,,The Necessary Stage; Esplanade – Theatres on the Bay,,The Necessary Stage; Esplanade – Theatres on the Bay,,The Japan Foundation; Ambassade de France à Singapour; The Saison Foundation; National Council for Culture and Arts (Conaculta) (Mexico); National Museum of Singapore (NMS); Ion Art; Ion Orchard; The Substation; AXA Art Insurance; EAT Works; IdeasScout Projects; Pixel Creations; b.; fFurious; Fiction Shore; fridae; First Printers Pte Ltd; M·A·C,,M1 Singapore Fringe Festival
,Zeitgeber,,17/1/2014,21:00,"National Museum of Singapore (NMS), Gallery Theatre","93 Stamford Road, Singapore 178897",1.296705,103.848505,,Play,Theatre,Takuya Murakawa,,The Necessary Stage; Esplanade – Theatres on the Bay,,The Necessary Stage; Esplanade – Theatres on the Bay,,The Japan Foundation; Ambassade de France à Singapour; The Saison Foundation; National Council for Culture and Arts (Conaculta) (Mexico); National Museum of Singapore (NMS); Ion Art; Ion Orchard; The Substation; AXA Art Insurance; EAT Works; IdeasScout Projects; Pixel Creations; b.; fFurious; Fiction Shore; fridae; First Printers Pte Ltd; M·A·C,,M1 Singapore Fringe Festival
,TAO: Seventeen Samurai,,5/9/2014,19:30,"The Mastercard Theatres at Marina Bay Sands, Sands Theatre","4 Bayfront Avenue, Singapore 018973",1.28523,103.860023,1679,Traditional music,Concert,Drum TAO,,Mediacorp VizPro International Pte. Ltd.,,,,,,
,TAO: Seventeen Samurai,,6/9/2014,15:00,"The Mastercard Theatres at Marina Bay Sands, Sands Theatre","4 Bayfront Avenue, Singapore 018973",1.28523,103.860023,1679,Traditional music,Concert,Drum TAO,,Mediacorp VizPro International Pte. Ltd.,,,,,,
,TAO: Seventeen Samurai,,6/9/2014,19:30,"The Mastercard Theatres at Marina Bay Sands, Sands Theatre","4 Bayfront Avenue, Singapore 018973",1.28523,103.860023,1679,Traditional music,Concert,Drum TAO,,Mediacorp VizPro International Pte. Ltd.,,,,,,
